receiver,call target,reason if incomplete
,core::fmt::Formatter::write_fmt,useless
,core::fmt::ArgumentV1::new_display,useless

## no meaningful spec possible (e.g. only requires(true)) or deemed not useful to specify

# string formatting for logging
*,core::fmt::Debug::fmt,useless

,core::fmt::Formatter::debug_struct,useless
,core::fmt::Formatter::debug_struct_field1_finish,useless
,core::fmt::Formatter::debug_struct_field2_finish,useless
,core::fmt::Formatter::debug_struct_field3_finish,useless
,core::fmt::Formatter::debug_struct_field4_finish,useless
,core::fmt::Formatter::debug_struct_field5_finish,useless
,core::fmt::Formatter::debug_struct_fields_finish,useless
,core::fmt::Formatter::debug_tuple,useless
,core::fmt::Formatter::debug_tuple_field1_finish,useless
,core::fmt::Formatter::debug_tuple_field2_finish,useless
,core::fmt::Formatter::debug_tuple_field3_finish,useless
,core::fmt::Formatter::debug_list,useless
,core::fmt::Formatter::debug_map,useless
,core::fmt::Formatter::debug_set,useless
,core::fmt::Formatter::pad,useless
,core::fmt::Formatter::pad_integral,useless
,core::fmt::Formatter::alternate,useless
,core::fmt::Formatter::precision,useless
,core::fmt::Formatter::sign_plus,useless
,core::fmt::Arguments::new_v1,useless
,core::fmt::Arguments::new_v1_formatted,useless
,core::fmt::ArgumentV1::new_debug,useless
,core::fmt::ArgumentV1::new_lower_hex,useless
,core::fmt::ArgumentV1::new_upper_hex,useless
,core::fmt::ArgumentV1::from_usize,useless
,core::fmt::ArgumentV1::new_binary,useless
,core::fmt::ArgumentV1::new_pointer,useless
,core::fmt::ArgumentV1::new_octal,useless
,core::fmt::ArgumentV1::new_lower_exp,useless
,core::fmt::ArgumentV1::new_upper_exp,useless
,core::fmt::builders::DebugStruct::field,useless
,core::fmt::builders::DebugStruct::finish,useless
,core::fmt::builders::DebugStruct::finish_non_exhaustive,useless
,core::fmt::builders::DebugTuple::field,useless
,core::fmt::builders::DebugTuple::finish,useless
,core::fmt::builders::DebugList::finish,useless
,core::fmt::builders::DebugList::entries,useless
,core::fmt::builders::DebugList::entry,useless
,core::fmt::builders::DebugMap::finish,useless
,core::fmt::builders::DebugMap::entry,useless
,core::fmt::builders::DebugMap::entries,useless
,core::fmt::builders::DebugSet::finish,useless
,core::fmt::builders::DebugSet::entries,useless

# serde errors (surprisingly common!)
*,serde::de::Error::invalid_length,useless
*,serde::de::Error::invalid_type,useless
*,serde::de::Error::invalid_value,useless
*,serde::de::Error::unknown_variant,useless
*,serde::de::Error::unknown_field,useless
*,serde::de::Error::missing_field,useless
*,serde::de::Error::duplicate_field,useless
*,serde::de::Error::end_of_stream,useless
*,serde::de::Error::custom,useless
<A as de::SeqAccess<'_>>::Error,core::convert::From::from,useless

# tracing & logging
log::Level,core::cmp::PartialOrd::le,useless
,log::max_level,useless
,log::__private_api_log,useless
,log::logger,useless
,log::MetadataBuilder::level,useless
,log::MetadataBuilder::target,useless
,log::MetadataBuilder::build,useless
,log::Metadata::builder,useless
dyn tracing::log::Log,log::Log::enabled,useless

tracing_core::callsite::DefaultCallsite,tracing_core::callsite::Callsite::metadata,useless
,tracing_core::metadata::Metadata::fields,useless
tracing_core::metadata::Level,core::cmp::PartialOrd::le,useless
tracing_core::field::Iter,core::iter::traits::iterator::Iterator::next,useless
,tracing_core::field::FieldSet::value_set,useless
,tracing_core::field::FieldSet::iter,useless
,tracing_core::field::FieldSet::new,useless
,tracing_core::subscriber::Interest::is_never,useless
,tracing_core::metadata::Metadata::new,useless
,tracing_core::metadata::LevelFilter::current,useless
,tracing_core::event::Event::dispatch,useless
tracing::__macro_support::MacroCallsite,tracing_core::callsite::Callsite::metadata,useless
,tracing_core::dispatcher::has_been_set,useless
,tracing_core::callsite::DefaultCallsite::new,useless
,tracing_core::callsite::DefaultCallsite::interest,useless
,tracing_core::metadata::Metadata::target,useless

## WIP:

# best handled once we figure out the story for iterators
,&[T]::iter,iterators
*,core::iter::traits::iterator::Iterator::next,iterators
*,core::iter::traits::collect::IntoIterator::into_iter,iterators
*,core::iter::traits::collect::FromIterator::from_iter,iterators

# slices/vecs
alloc::vec::Vec,core::ops::deref::Deref::deref,planned
alloc::vec::Vec,core::ops::deref::DerefMut::deref_mut,planned
,alloc::vec::Vec<T>::new,planned
,alloc::vec::Vec<T>::with_capacity,planned
,"alloc::vec::Vec<T, A>::push",planned
,"alloc::vec::Vec<T, A>::len",planned
alloc::vec::Vec,core::default::Default::default,planned
alloc::vec::Vec,core::ops::index::Index::index,planned
alloc::vec::Vec,core::ops::index::IndexMut::index_mut,planned
alloc::vec::Vec,core::cmp::PartialEq::eq,planned
alloc::vec::Vec,core::hash::Hash::hash,planned
alloc::vec::Vec,core::iter::traits::collect::Extend::extend,planned

# define sizes for common types
,core::mem::size_of,
,core::mem::align_of,
,core::mem::swap,
